App No,Type,App Date,Status,FRU Interview Scheduled,Drug Test,WAV Course,Defensive Driving,Driver Exam,Medical Clearance Form,Other Requirements,Last Updated
5928026,HDR,12/2/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5923294,HDR,10/10/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Copy of DMV license needed,12/13/2018 6:00
5924982,HDR,10/29/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5921182,HDR,9/20/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926580,HDR,11/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5919969,HDR,9/8/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5920809,HDR,9/17/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5928379,HDR,12/5/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Not Applicable,12/13/2018 6:00
5927850,HDR,11/29/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5923005,HDR,10/8/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5903681,HDR,8/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5925936,HDR,11/7/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5890325,HDR,7/27/2018,Pending Fitness Interview,11/29/2018,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5926837,HDR,11/17/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5926802,HDR,11/16/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927973,HDR,12/1/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed,12/13/2018 6:00
5928884,HDR,12/10/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5925769,HDR,11/6/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5928807,HDR,12/9/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5926020,HDR,11/8/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5924778,HDR,10/25/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Needed,Copy of DMV license needed,12/13/2018 6:00
5926760,HDR,11/16/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5928423,HDR,12/5/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5904282,HDR,8/14/2018,Denied,Not Applicable,Complete,Complete,Needed,Complete,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,12/13/2018 6:00
5924817,HDR,10/26/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5918580,HDR,8/27/2018,Denied,11/19/2018,Complete,Complete,Needed,Complete,Complete,Copy of DMV license needed,12/13/2018 6:00
5927525,HDR,11/26/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5927804,HDR,11/29/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5921624,HDR,9/25/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5922050,HDR,9/28/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928535,HDR,12/6/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5922726,HDR,10/4/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5929231,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928030,HDR,12/3/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5920948,HDR,9/18/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5927932,HDR,11/30/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927939,HDR,11/30/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5914892,HDR,8/24/2018,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926208,HDR,11/10/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5920943,HDR,9/18/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927409,HDR,11/26/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5922654,HDR,10/3/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Needed,Not Applicable,12/13/2018 6:00
5928838,HDR,12/9/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927742,HDR,11/28/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5924469,HDR,10/22/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5927925,HDR,11/30/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5929192,HDR,12/11/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5924257,HDR,10/19/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5926578,HDR,11/14/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5868244,HDR,4/20/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928016,HDR,12/2/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5925945,HDR,11/7/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Needed,Copy of DMV license needed,12/13/2018 6:00
5927393,HDR,11/25/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5919816,HDR,9/6/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,12/13/2018 6:00
5924886,HDR,10/27/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927535,HDR,11/27/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Not Applicable,12/13/2018 6:00
5927743,HDR,11/28/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license & other items. Visit www.nyc.gov/tlcup,12/13/2018 6:00
5927774,HDR,11/29/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5927149,HDR,11/20/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5926907,HDR,11/18/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5926820,HDR,11/16/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5928554,HDR,12/6/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Complete,Complete,Copy of DMV license needed,12/13/2018 6:00
5929069,HDR,12/11/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5920995,HDR,9/18/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927871,HDR,11/30/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926177,HDR,11/10/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5928819,HDR,12/9/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5920817,HDR,9/17/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5925783,HDR,11/6/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5919157,HDR,8/29/2018,Denied,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927414,HDR,11/26/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5921305,HDR,9/21/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927749,HDR,11/29/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5922719,HDR,10/4/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5926868,HDR,11/17/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5922114,HDR,9/29/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5921760,HDR,9/26/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5925787,HDR,11/6/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5922761,HDR,10/4/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927707,HDR,11/28/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5929029,HDR,12/10/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5921989,HDR,9/27/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5926584,HDR,11/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5929182,HDR,12/11/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5924248,HDR,10/19/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5926211,HDR,11/10/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927201,HDR,11/21/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5928543,HDR,12/6/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926190,HDR,11/10/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5926739,HDR,11/16/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927851,HDR,11/29/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5919489,HDR,9/4/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5925590,HDR,11/3/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928851,HDR,12/10/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5922456,HDR,10/2/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5929309,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928898,HDR,12/10/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5924970,HDR,10/29/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5928895,HDR,12/10/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5925711,HDR,11/5/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5924306,HDR,10/20/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5920805,HDR,9/17/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5922427,HDR,10/2/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5922171,HDR,9/29/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5928864,HDR,12/10/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5925446,HDR,11/1/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5921889,HDR,9/27/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Copy of DMV license needed,12/13/2018 6:00
5924152,HDR,10/18/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed,12/13/2018 6:00
5928768,HDR,12/8/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Fingerprints needed,12/13/2018 6:00
5922658,HDR,10/3/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Not Applicable,12/13/2018 6:00
5924355,HDR,10/21/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5925607,HDR,11/4/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5924477,HDR,10/22/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927698,HDR,11/28/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Not Applicable,12/13/2018 6:00
5924993,HDR,10/29/2018,Incomplete,Not Applicable,Needed,Complete,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5925773,HDR,11/6/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,12/13/2018 6:00
5929311,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927078,HDR,11/19/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926606,HDR,11/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5919445,HDR,9/3/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Complete,Complete,Open items needed. Visit www.nyc.gov/tlcup for more information,12/13/2018 6:00
5924305,HDR,10/20/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5922935,HDR,10/7/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927794,HDR,11/29/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5910385,HDR,8/21/2018,Denied,Not Applicable,Needed,Complete,Needed,Needed,Complete,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5925665,HDR,11/5/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927877,HDR,11/30/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5929255,HDR,12/12/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5927173,HDR,11/21/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Complete,Complete,Not Applicable,12/13/2018 6:00
5927481,HDR,11/26/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5925336,HDR,11/1/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5924732,HDR,10/25/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926879,HDR,11/17/2018,Incomplete,Not Applicable,Needed,Complete,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926586,HDR,11/14/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5923952,HDR,10/16/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5926152,HDR,11/9/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928435,HDR,12/5/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928426,HDR,12/5/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5927993,HDR,12/2/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5926819,HDR,11/16/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Complete,Fingerprints needed,12/13/2018 6:00
5919658,HDR,9/5/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5920401,HDR,9/12/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927478,HDR,11/26/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5926932,HDR,11/18/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5925570,HDR,11/3/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5923247,HDR,10/10/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927467,HDR,11/26/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5924967,HDR,10/29/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5928719,HDR,12/7/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5927203,HDR,11/21/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5929057,HDR,12/11/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5926103,HDR,11/9/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5928558,HDR,12/6/2018,Incomplete,Not Applicable,Complete,Complete,Needed,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5926423,HDR,11/13/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5922188,HDR,9/30/2018,Incomplete,Not Applicable,Needed,Needed,Complete,Needed,Needed,Copy of DMV license needed,12/13/2018 6:00
5926049,HDR,11/8/2018,Incomplete,Not Applicable,Complete,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5913855,HDR,8/23/2018,Denied,11/9/2018,Complete,Complete,Needed,Complete,Complete,Copy of DMV license needed,12/13/2018 6:00
5925625,HDR,11/4/2018,Incomplete,Not Applicable,Complete,Needed,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5921049,HDR,9/19/2018,Under Review,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5925726,HDR,11/5/2018,Incomplete,Not Applicable,Complete,Complete,Complete,Needed,Complete,Not Applicable,12/13/2018 6:00
5921285,HDR,9/21/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Needed,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
5902600,HDR,8/14/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5925436,HDR,11/1/2018,Approved - License Issued,Not Applicable,Complete,Complete,Complete,Complete,Complete,Not Applicable,12/13/2018 6:00
5927103,HDR,11/20/2018,Incomplete,Not Applicable,Needed,Needed,Needed,Complete,Needed,Fingerprints needed; Copy of DMV license needed,12/13/2018 6:00
